game_id,player_x_id,player_o_id,move_id,pre_state,move,post_state
27,2,10,6,xxo-x-o--,5,xxo-xoo--
27,2,10,7,xxo-xoo--,7,xxo-xoox-
28,2,10,1,---------,6,------x--
28,2,10,2,------x--,0,o-----x--
28,2,10,3,o-----x--,2,o-x---x--
28,2,10,4,o-x---x--,8,o-x---x-o
28,2,10,5,o-x---x-o,4,o-x-x-x-o
29,2,10,1,---------,5,-----x---
29,2,10,2,-----x---,3,---o-x---
29,2,10,3,---o-x---,0,x--o-x---
29,2,10,4,x--o-x---,1,xo-o-x---
29,2,10,5,xo-o-x---,8,xo-o-x--x
29,2,10,6,xo-o-x--x,2,xooo-x--x
29,2,10,7,xooo-x--x,4,xoooxx--x
30,2,10,1,---------,5,-----x---
30,2,10,2,-----x---,1,-o---x---
30,2,10,3,-o---x---,2,-ox--x---
30,2,10,4,-ox--x---,8,-ox--x--o
30,2,10,5,-ox--x--o,4,-ox-xx--o
30,2,10,6,-ox-xx--o,0,oox-xx--o
30,2,10,7,oox-xx--o,3,ooxxxx--o
31,1,2,1,---------,7,-------x-
31,1,2,2,-------x-,1,-o-----x-
31,1,2,3,-o-----x-,8,-o-----xx
31,1,2,4,-o-----xx,6,-o----oxx
31,1,2,5,-o----oxx,2,-ox---oxx
31,1,2,6,-ox---oxx,5,-ox--ooxx
31,1,2,7,-ox--ooxx,4,-ox-xooxx
31,1,2,8,-ox-xooxx,0,oox-xooxx
31,1,2,9,oox-xooxx,3,ooxxxooxx
32,1,2,1,---------,2,--x------
32,1,2,2,--x------,4,--x-o----
32,1,2,3,--x-o----,3,--xxo----
32,1,2,4,--xxo----,0,o-xxo----
32,1,2,5,o-xxo----,6,o-xxo-x--
32,1,2,6,o-xxo-x--,1,ooxxo-x--
32,1,2,7,ooxxo-x--,5,ooxxoxx--
32,1,2,8,ooxxoxx--,7,ooxxoxxo-
33,1,2,1,---------,4,----x----
33,1,2,2,----x----,0,o---x----
33,1,2,3,o---x----,8,o---x---x
33,1,2,4,o---x---x,2,o-o-x---x
33,1,2,5,o-o-x---x,1,oxo-x---x
33,1,2,6,oxo-x---x,7,oxo-x--ox
